"text";"created";"screenName"
"Eu AMO o conceito comentarista de futebol emocionado https://t.co/53CNtRDasF";2019-12-17 23:49:50;"onathanfarias"
"@Gu_B0rges você leva um time de futebol como representatividade na sua vida e eu penso pequeno kkkk tô ligado";2019-12-17 23:49:40;"alexc4stro"
"@SamTadeu @lenchinski Pelo contrário. A política, felizmente ou infelizmente, tem que ser e é uma pauta recorrente… https://t.co/7N3QHO1L1c";2019-12-17 23:49:39;"umtaldehudson"
"@JCAcanalha Gosto dessa função para o Diego, mas o Paquetá só tá roubando ultimamente... ir para o Milan afundou se… https://t.co/pL0K7OK11S";2019-12-17 23:49:28;"GECantareira"
"Como ver os TT's sem futebol? https://t.co/JZxVQM4NVZ";2019-12-17 23:49:18;"OutlanderGui"
"@douglasn27 @gbrleite @juniorpellin @lucas61810786 @SoccerGremio 2016, cara. Um jogo. Estamos adentrando 2020. De l… https://t.co/bhzxYlslLX";2019-12-17 23:49:17;"theoldthunder"
"@OliveiraRafa O vídeo ajudou muito a entender um pouco mais sobre esse assunto, valeu mesmo desculpa ficar te incom… https://t.co/g1F8MBsPcW";2019-12-17 23:49:13;"ricneves07"
"e quando o flamengo começou a negociar pra trazer ele, eu fui um dos que achou que era desnecessário

ainda bem que… https://t.co/sNcqMhJZwk";2019-12-17 23:49:07;"victorludgero"
"@FoxSportsBrasil @Flamengo Que discurso chato na abertura do sorteio da libertadores. Tô quase desligando a tv";2019-12-17 23:48:59;"_futebol_raiz"
"Vocês que acompanham o basquete do São Paulo, as faixas foram proibidas ou como a organizada só é paga pra acompanh… https://t.co/ulBfwp8p1c";2019-12-17 23:48:41;"saopaulinista"
"@galvaobueno @futebol_info Vc é top... E haja coração... Se cuida aí...";2019-12-17 23:48:37;"igorvmarques"
"@uaubru @TATADE9 @Otaviospfc10 @FoxSportsBrasil Futebol não começou em 2010 ou em 2019. São Paulo pode ficar 50 ano… https://t.co/WJbtkKkdL2";2019-12-17 23:48:31;"matheusvsk"
"@galvaobueno @futebol_info Você é o melhor de todos os tempos <U+0001F44F><U+0001F3FD>

Faz que eu quero ver";2019-12-17 23:48:30;"45milhoes"
"Vou ali ver esse futebol no mdo";2019-12-17 23:48:25;"IgorSimoes23"
"@futebol_info Luan é bola mas tem que ter elenco.
Flamengo tem elenco por isso até Arão desenvolveu um bom futebol… https://t.co/FqnLc4spXw";2019-12-17 23:48:19;"BrunnoMoreira14"
"@RestritoAdriano @IngridCRF81 @futebol_info Paga o seu ano que vem 

KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK… https://t.co/L3IADwYbTW";2019-12-17 23:48:16;"JesseKeyboard"
"@gualincrf @RestritoAdriano @mister_ofc @futebol_info Não adianta ele sabe ler mas não consegue interpretar. <U+0001F602><U+0001F602><U+0001F602>
El… https://t.co/ox4MP8Y1m2";2019-12-17 23:48:13;"Nanda_Nazare"
"@futebol_info Não mentiu. É melhor mesmo.";2019-12-17 23:47:57;"EricGarcia1895"
"@nauizera_ do futebol kkkkkkkkk";2019-12-17 23:47:51;"sweet_akemi"
"Agora parte da torcida apoia o @camara_sette ,outra parte é  contra.
Não, não é por causa do futebol  e sim porque… https://t.co/hC19cnqKYp";2019-12-17 23:47:23;"barony1"
"Outdoors sobre rebaixamento do Cruzeiro se espalham por cidades mineiras https://t.co/tj1v29v2Cg via @otempo";2019-12-17 23:47:21;"plinsGALO"
"@JLFiga Jogando como 2° volante ele pode render e ajudar mt o Flamengo. O problema é q ele estava jogando na posiçã… https://t.co/r8vCZIIhHw";2019-12-17 23:47:11;"BekaAndrade_"
"@futebol_info Renato é mengão mesmo! Obrigado!";2019-12-17 23:46:57;"VbCecheto"
"O Vascaíno é o terraplanista do futebol brasileiro. Os caras inventam uma mentira e seguem nela e foda-se a realida… https://t.co/00ZFw8gazL";2019-12-17 23:46:56;"briankovic"
"@brunovicari O interesse dos europeus no futebol Sul Americano é o mesmo que o nosso no Asiático";2019-12-17 23:46:52;"ands_99"
"Chato pra caralho o presidente da Conmebol. Não vê que geral na plateia tá puto, só querem que peguem as bolinhas p… https://t.co/Syuvtn3Jx6";2019-12-17 23:46:44;"Carlosmno_"
"Torcida do Inter \"veste\" cachecol e causa alvoroço com contratação de Coudet; veja reações e memes | internacional… https://t.co/WYNfnDLyl0";2019-12-17 23:46:40;"machadofnd"
"Vou tacar o foda-se. E vou jogar um futebol!!";2019-12-17 23:46:11;"TitoNWG"
"@FabianoBaldasso Longe do Beira-Rio esse homem. Acredita que ele afirmou que o River foi campeão mundial? Quem é Da… https://t.co/0jQW1Vkv7o";2019-12-17 23:45:53;"ColoradoConsci1"
"Tô consumindo umas coisas tão hétero ultimamente que até surgiu do nada uma bola de futebol embaixo do meu pé. https://t.co/wvnHWfLQnD";2019-12-17 23:45:39;"Andr3izes"
"@ccflx Claudia tu não sabe como tocar nesse assunto  com o teu pai
Fala pra ele q vai dar um amigo pra jogar futebo… https://t.co/UAQN62VunN";2019-12-17 23:45:27;"MicaAxe"
"@mister_ofc @RestritoAdriano @futebol_info Ele sabe ler mas não consegue interpretar.<U+0001F602><U+0001F602><U+0001F602>";2019-12-17 23:45:24;"Nanda_Nazare"
"@futebol_info Flamengo tem que pagar qto ao Gremio?";2019-12-17 23:45:22;"fla_mengol"
"@JornalOGlobo Nossa, que negócio mais sem graça!
A coisa mais legal de ir pro campo, assistir futebol é ficar do la… https://t.co/dTXvkFPYIX";2019-12-17 23:45:16;"rosely200382"
"O presidente da Conmebol dizendo que os torcedores desfrutaram de suas camisas e suas \"bandeiras \"!!!. Serão aquela… https://t.co/l2s9dwbTLt";2019-12-17 23:45:10;"vevezinhamattos"
"@Nanda_Nazare @mister_ofc @futebol_info OLHA A FIFA AI MANDANDO UM ABRAÇO  PRA VCS <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> https://t.co/Q2GzZPoV8E";2019-12-17 23:45:02;"RestritoAdriano"
"@futebol_info Acho pouco, time vagabundo";2019-12-17 23:44:58;"IranBarros10"
"Não é só futebol https://t.co/R8t0pt3btP";2019-12-17 23:44:57;"carolinecantao"
"@RestritoAdriano @mister_ofc @futebol_info Chora maria <U+0001F602><U+0001F602>
A série b é o seu lugar<U+0001F602><U+0001F602><U+0001F602> https://t.co/NK9Rd0j5Eg";2019-12-17 23:44:35;"Nanda_Nazare"
"Jogar c meu pai é facil dms, acabamos com o futebol";2019-12-17 23:44:29;"yuri_crvgg"
"Porra! Enfim tu abriu a boca pra essas questões. A Rapinoe já deu a letra, os grandes nomes do futebol precisam se… https://t.co/YfgccakZfX";2019-12-17 23:44:28;"danificando_"
"@futebol_info Renato tu é gigante";2019-12-17 23:44:28;"Jeffersoncrf26"
"@futebol_info Da pro Fortaleza, mereceram mais q eles";2019-12-17 23:44:26;"verboadolesce"
"Não sei nem qual foi o rolê desse árbitro americano.... galera dos Estados Unidos não sabem jogar futebol gente, roubaram na caruda <U+0001F926><U+0001F3FF><U+200D><U+2640><U+FE0F>";2019-12-17 23:44:22;"gmfabrizzi"
"@oBetoGuerra @camara_sette Vergonha essa Diretoria esse Sr q se diz diretor de futebol é uma vergonha!
Quero ver at… https://t.co/LQNoHoI2wz";2019-12-17 23:44:19;"Marcos_Bragalo"
"Toma no cu, commebol tá gourmet demais, esses discursinho de futebol moderno me irrita p caraio";2019-12-17 23:44:10;"giomaarin"
"@vaievem_futebol Hauah nossa, por favor, peguem! Presentão";2019-12-17 23:44:07;"marcobra7"
"é natação, polo aquático, salto ornamental, vôlei, basquete, tênis, ginástica artística, nado sincronizado, tênis d… https://t.co/tyy2kejpZG";2019-12-17 23:43:56;"dudamellovr"
"@futebol_info Agora ta explicado o pq daquelas atuações do Corinthians, Eles queriam ficar de fora";2019-12-17 23:43:49;"LucianoVincler"
"Vc acabou com o futebol dele <U+0001F92C> https://t.co/8IVHmrFHkx";2019-12-17 23:43:42;"ThierryTyf"
"Só de lembra que ele me apoiava tanto no futebol já fico triste, maior sdd de vc primo, sempre vai ser lembrado <U+0001F97A>";2019-12-17 23:43:38;"Alequinho03"
"@lekocrvg01 Quinta tem futebol emmm";2019-12-17 23:43:38;"Sueth_CRVG"
"@Gu_B0rges kkkk o dia que um time de futebol for representatividade pra mim eu mudo meu sobrenome";2019-12-17 23:43:30;"alexc4stro"
"@sfcpeter_1912 Obrigada, mas de certa forma o bom do futebol é isso. Zoar. Ganhando ou perdendo. <U+0001F618>";2019-12-17 23:43:27;"eduardapadrone"
"@Vitty_Official não eh pq eu não torço pro flamengo q eu não vou admirar o desempenho do time. futebol eh assim né, fases e fases ué";2019-12-17 23:43:24;"batatatafritata"
"@ESPNagora Acho pouco provável o Flamengo conseguir anular Salah, Firmino e Mane.Mas no futebol tudo é possível.";2019-12-17 23:43:20;"zichia_jose"
"pq o lab é afastado, grande e meio q a batcaverna, mas o povo chorando, se jogando no chão, gritando, brigando, se… https://t.co/UtBGRTocT9";2019-12-17 23:43:19;"vituNASUCA"
"@futebol_info Na mesma reunião disse q o Flamengo gastou 200 milhões, só pra manter a frase diária mesmo.";2019-12-17 23:43:15;"mackrj"
"@vaievem_futebol Agora sou profeta pra adivinhar quem";2019-12-17 23:43:11;"DudaVasco98"
"@futebol_info Já começou o choro antes de jogar! Rsrsrs";2019-12-17 23:43:00;"BiaFla2016"
"Confira a tabela de jogos do seu time no Campeonato Catarinense 2020

https://t.co/SDfwYRQ27u https://t.co/pWPtr0v29q";2019-12-17 23:43:00;"GloboEsporteSC"
"@heitorcandid0 @futebol_info Simples: O Campeonato tem que voltar a ser G4!";2019-12-17 23:42:44;"Kerplunk0"
"Futebol sulamericano é muito bom kkkkkkk";2019-12-17 23:42:33;"oolacris"
"@RestritoAdriano @mister_ofc @futebol_info Reclame com a Fifa.<U+0001F602>
<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>";2019-12-17 23:42:31;"Nanda_Nazare"
"@BlogdoNoblat Ainda bem que o Galvão entende de futebol e você de... Achei que era política e economia, mas já nem sei mais.";2019-12-17 23:42:21;"orlean"
"<U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD>Como o futebol deveria ser : https://t.co/JmsBuvn0nc";2019-12-17 23:42:19;"levsouza"
"Mano o futebol sul americano é um bglh diferenciado msm kkkkkkk";2019-12-17 23:42:13;"LimaaaCRF"
"@futebol_info Ue classifica pra libertadores direto pelo brasileiro então filho";2019-12-17 23:42:02;"Jv_alves98"
"“Oto patamar”: veja os memes da vitória do Flamengo no Mundial https://t.co/tppZE8Tefr";2019-12-17 23:41:55;"machadofnd"
"@Nanda_Nazare @mister_ofc @futebol_info A FIFA NÃO  LIGA PRO TORNEIO DE VERÃO 

CHUPAA FLAMENGO  SEM MUNDIAL https://t.co/iNQZTmNRyp";2019-12-17 23:41:55;"RestritoAdriano"
